#Wave_number	#Intensity
1831.056641	3218.562744
1829.724609	3231.151123
1828.394531	3200.535400
1827.062500	3171.807861
1825.732422	3221.949463
1824.400391	3255.177734
1823.068359	3175.778320
1821.736328	3156.457764
1820.402344	3232.834229
1819.070313	3254.781250
1817.738281	3201.695557
1816.404297	3146.752686
1815.070313	3176.202637
1813.738281	3125.032715
1812.404297	3268.809326
1811.070313	3122.067139
1809.736328	3226.447021
1808.400391	3100.369873
1807.066406	3139.161377
1805.730469	3123.631592
1804.396484	3207.341797
1803.060547	3191.804932
1801.724609	3215.579346
1800.388672	3140.162598
1799.052734	3139.613770
1797.716797	3178.350098
1796.378906	3189.016846
1795.042969	3203.419922
1793.705078	3131.810059
1792.369141	3135.001221
1791.031250	3166.227539
1789.693359	3255.374268
1788.355469	3209.962646
1787.017578	3226.214355
1785.677734	3227.517822
1784.339844	3154.122803
1783.000000	3112.494385
1781.662109	3177.287842
1780.322266	3141.269043
1778.982422	3159.380859
1777.642578	3164.425537
1776.302734	3178.795898
1774.962891	3137.206055
1773.621094	3196.331787
1772.281250	3141.701660
1770.939453	3090.818848
1769.597656	3164.832275
1768.255859	3134.461670
1766.914063	3191.672363
1765.572266	3043.946045
1764.230469	3175.654541
1762.888672	3122.956055
1761.544922	3081.447510
1760.203125	3151.647705
1758.859375	3143.650879
1757.515625	3046.332275
1756.171875	3190.925293
1754.828125	3225.711426
1753.484375	3094.950195
1752.140625	3220.862061
1750.794922	3186.830566
1749.451172	3098.900635
1748.105469	3083.488525
1746.759766	3162.855957
1745.414063	3136.289795
1744.068359	3078.152344
1742.722656	3124.046387
1741.376953	3023.219971
1740.029297	3109.954590
1738.683594	3094.558350
1737.335938	3090.303711
1735.988281	3067.493408
1734.642578	3144.881836
1733.294922	3094.243652
1731.945313	3075.153809
1730.597656	3069.051025
1729.250000	3053.680176
1727.900391	3151.393799
1726.552734	3043.341797
1725.203125	3085.429443
1723.853516	3120.091064
1722.503906	3063.969971
1721.154297	3068.988770
1719.804688	3029.562012
1718.455078	3016.070068
1717.103516	3145.122070
1715.753906	3037.221436
1714.402344	3044.090576
1713.050781	3017.653564
1711.699219	3050.421387
1710.347656	2990.700684
1708.996094	3086.334473
1707.642578	3054.361572
1706.291016	3050.128174
1704.939453	3073.619629
1703.585938	3061.992432
1702.232422	3041.131104
1700.878906	3042.444092
1699.525391	3049.297607
1698.171875	3091.234131
1696.818359	3077.766846
1695.462891	2944.316650
1694.109375	3030.544434
1692.753906	3081.680908
1691.398438	3058.999512
1690.042969	3097.199951
1688.687500	3089.278076
1687.332031	2915.397217
1685.976563	3027.350342
1684.621094	3139.263916
1683.263672	3107.380127
